,text
11958,"Don’t misunderstand me, I love my mother to death. At the same time, I would also like to give her a few slaps due to her meddling in my affairs."
1335,gagging test (pay no attention to the caterpillars in her eyes)
11122,Yeah I've never seen a black women that even compares to Dana.
11984,NOT MY PROBLEM LOL I doubt it is as bad as reputed... I have known a few Irish women who were quite pleasant to live with.
11028,Also 35. I had no idea. I thought young girls didn't like guys in their 30s. Is it via OLD?
60,"Be careful with the girls. Most of them who are willing to do the pump and dump are borderline. They can be of a relatively mild version, but if encounter a strange one, just get away. And don’t forget to make a video."
7404,"MGTOW is a natural reaction to the state of affairs. I quit dating and dealing with women in 2011 and I never heard of MGTOW until 2014, that's when I realized it was a social phenomenon. The meme is still growing, BTW."
7231,either you worship women or you're a misogynist.
7421,You think she'll wait until they're 18 before the cuckolding?
7429,The biological experience of the reproductive system is the core central defining experience of being a woman. It shapes everything about our existence if life
11157,She wanted to adopt so that she could play with the child while the husband pays for it.
11031," Yes, it's one part of the U.N. NWO New Age pkg involving ancient sacred feminine / Mother Earth Gaia worship, etc, to destroy all of mankind. Our enemy has many far reaching tentacles & has been very busy."
11069,Late Night TV is awash in Liberal Idiocy!!
1520,How does one learn how to choke a women? I assume there is an art to it? Is it that you're depriving blood to the brain more so than choking the windpipe?
11171,"Yes, coming from her/media...no surprise. They are no longer in control of the narrative and it drives them crazy."
11176,TRUCE OR CONSEQUENCES... Muslim men. like killing other Muslim men... keeps the overpopulation down... and they get more women in their harems....
1235,I can't wait for Clamydia De'Shaniqua to twerk with her crew as she cuts into my abdomen. How multicultural!
1494,I'd be willing to end the 19th Amendment to stop that Emily in her tracks.
10988,"Salvini spanked her, she liked it...love ya Claudia..."
1590,Never enough blood to satisfy these girls. I learned that a long time ago.
1247,Eh your right but I’d say 17-18% is ideal for women.
7159,"I love how you tried to frame is as playing devil's advocate when it's really what you believe. Actually I believe exterminating Muslims and Jews entirely. We should start with their women, to disable their reproductive capacity first."
7164,What monsters!There are no people of color in that photo. Why are the kids so white? Does the mother hate black men? Is she a bigot? I bet she is. Why else would she be with a white man? White men are all racists!
7142,"There are some that would disagree, to them she is a Goddess. She has no soul by our definitions. We will continue fighting and we will win. We will not be replaced."
7239,"lol go for it dude, whamens can do no wrong"
1216,One look at this woman and it is obvious why she hates Men.
1224,"Oh yes, she should be shot."
1597,Giving women all your money is good personality.
11001,Why didn't he just play with the other guys wife whist the dude was smashing his? Instead this guy just watched.....what a beta cuck!
1661,"My cat I had for 15 years died and I broke down a little infront of a plate. Absolutely nothing changed. Just never bring it up again. Think of it as a test for her. If she leaves, she was trash to begin with."
10917,So you're saying Chinese women are gold diggers and others races arent? You're just moving one uncomfortable conclusion to another uncomfortable conclusion.
11950,"I identify and feel like a menstruating Chinese woman, so if I kick you in the throat, it is not my fault. I'm special and must be accomadated, cause I'm different, but am the same, but not really, maybe. "
7102,"then you are not aware that #PlannedParenthood is grooming the girls for abortion & contraceptives,never let my girls join that bs"
76,She and her fans are the epitome of trash
1629,I'd just love to be able to walk up to her and punch her in the face...just once.
10959,In L/S dressed up as Anne and let me beat her with a Der Spiegel newspaper while spraying her with Lysol i would pay good money for that
1680,"Score, at least you banged her!"
1686, · 8h8 hours ago Shouldn’t the most infamous loser in history shut her pie hole at this point? It’s becoming an authentic tragedy. #TumblingHag 
1692,"AWALT. The guy had social status, so she attached to it instantly."
1650,Even when they're raping your daughter and sawing off your husband's head with a butcher knife?
10822,"dread game is going to make many women shut down emotionally and physically. Not in my experience ymmv but ime lots of women respond VERY strongly to it, it makes them fight for you and even go a little crazy trying to secure your commitment"
7030,"Another one joins the gang that harasses women doing shopping, walking on the streets, etc, and feels proud about it, but seldom gets laid."
6992,"claims to understand biology >is a civic nationalist He has you pegged cuck, or maybe your wife's BF does that."
1173," Lock her up with Hillary,,,she needs a similar minded jail mate."
11234,"Even if any-she agrees, her feefees will change from moment to moment, so nothing counts (that 'o' is silent)."
10860,"She named her child ""Hosanna"", do you expect healthy human behaviour from her? She is a textbook white trash from what i can see."
1761, True Ladies are warriors for truth and nothing is tacky When you stand on the right side of it. In fact it shows a persons quality to stand for the truth when it is unpopular. That is what any True Lady or Gentleman must do.
6921,"Instead of a blindfold, she needs a bag over her head."
6890,"Well, Trump sure isn't your mother's golf playing President. Zowie. "
1833,Wives and girlfriends cheating is violence against the man because they are giving away the resources invested in her wellbeing. Sadly our society denies that men are victims in any way because woke leftists need an enemy to sell security.
10809,"so they couldn't be bothered to put in the effort to look good for their husbands, eh?"
1820,She should post on simprateme so she gets a 8/10
10817,I kind of want to make a troll account and just posed women or trash and get it report it and see if it's taken down just to see
10716,My sausage brings all the girls to the yard #sausage
1965,"That brown one, bottom right, is being extremely transphobic. >If you call Lily, a trans undead 12 year old a trap or loli That only leaves Shota, a boy. Way to misgender her, shitlord!"
11251,No thank you I've had my self-confidence destroyed by Indian women since birth
1920,If I walked up to a woman and told her she is beautiful she would probably call the police or cuss me out
1908,she looked worse on her livestream
10696,"Her mother should have been schooled, on the proper use of a clothes hanger."
130,So what would happen if every man with a spine (and women with a sense of humor) on Twatter tweeted this meme every day for a week?? I guess I should've asked first - just how many men out there still own a spine...
7614,"Yes, its a total insult if she's not attractive."
6856,"You didn't pay her therefore she desired you. She showed you genuine desire. If there is cash, there is no genuine desire, right?"
7658,I don't think she needs to worry about getting knocked up
7563, An Armenian on the Young Turks? How come she isn't dead yet?
6939,is life experience attractive to women? i've seen some evidence of this but never was sure about it
1128,"She won't mind if you try. It is possible (5%) she will say ""no, and I mean it"", but it would really hurt her feelings if you wouldn't try it. Talking from my experience. :("
1998,His Ashkenazi jaw line... it infuriates me. I want to plant a baseball bat against it so badly. I shouldn't talk like this to a lady... Needed to ventilate.
1971,"yeah but things are different now. tradcons are part of the problem. when the muslims take over, im gonna learn arabic and im gonna have me a harem. gotta admit muslims keep their women in check"
11892,"This is why every man should ""date down"" significantly. YOU need to be the one in control. YOU need to make more money, have more options and be better looking/more fit."
11895,we know what liars they are just ask her ex husband how she lied to him
7671,"Found something on Wikipedia. Not intentionally either, I was just trying to remember the disgusting creep's name. But here she is, the one we all love to hate, Dianne Feinstein. Not surprisingly she was inept then, too."
2051,Im actually glad they made women clean that
2198,"10/10 with interior decorating skills like yours, girls will be falling all over you. I'm falling for you a little myself"
11289,F - FACE: Has it fallen on one side? A - ARMS: Can they raise them? S - SPEECH: Is it slurred? T - TIME... to get her knickers down. The rohypnol has kicked in.
10583,a violent niggerette. McDonalds could make hamburgers out of her. At least then a few burgers would have some meat
2101,"When asked to help load a woman’s rollerboard into the overhead bins, how do you respond? I keep my eyes down to avoid eye contact while the women are struggling to load their bags, and that helps. But when asked to help, I’m not sure how to respond."
10501,Step on her head and shoot her! That is the only way to rid society of these creeps.
10508,Always follow the money. You think the government is gonna pay for tens of thousands of new born chad babies per week till they reach adulthood?
2311,I don't care if she doesn't care. If she tries to break into my house I will shoot her. Dead.
10559,I have a gas chamber for her. Also for the other 649 MPs.
10569,How great is this pic of Duterte with some of his troops? I usually am not in favor of female soldiers but I may make an exception here
11330,"If you have broad shoulders and small hips, a semi-chad may be possible. But the fact that you have to ask this question means you have too much Oest anyway ---> wide hips, so no."
7743,"Thank you. >Think of how you Love a puppy, that's the Love you must have for a woman. That is an excellent way to look at it."
6672,as if anyone under the age of 20 is actually watching this garbage. This show is made for 55 year old rural white women who have no close friends and whose children moved out.
6681,"Depends on big she is, not the cake....your wife-to-be"
10465,I hate her.
10468,"Lady Justice carries a sword. Take away the sword, she is left with the scales. But grocers, also, carry scales."
2363,Avoid argument with women
2334,Let me just be a faggotx girls will like me now
2496,What about when I already match with girls but can’t get them to write back. They may write me once but then they leave me on read.
2489,If parents were dressing a biological girl this way liberals would say it's sexualization of young girls and oppressive patriarchy.
2464,If she's attractive enough many men won't even ask.
10410,"Thank you for giving these examples. It seems that whilst helping women gain status society forgot men, which is incredibly sad. I hope society realises its mistakes and sorts them out."
2447,Hildegarde von Bingen..the only woman composer ever considered truly great. Amazing sacred music. A German Benedictine nun of all things. Lived almost 90 years in the 12 th century! 
2618,The Baby Momma left her Cuck with her baby.
1054,Perhaps a page should be taken out of the Klinton/Obamaha playbook and punch back twice as hard; destroy her privacy completely.
2598,“If I say bad things about women my wiener won’t get action!!!”
7768,In if ya got a problem pickin on female liyalists y not try someone your own size
6613,"its just make up, shes got the face of a camel under there"
6616,"LOL, a Canadian guy legally changed his gender to female so that he would save $1000 a year on car insurance. A female lawmaker is outraged and is demanding he be arrested for perjury bc he said he did it just for the insurance savings. HA HA HA HA!"
10320,The freakin' citadel has accepted a muslim woman who wants to force them to let her wear her hijab.  #MAGA#BanIslam
2562,The image of Hillary having a seizure mid-debate and face-planting from her podium because of a verbal-smackdown from Trump is just too lulzy for words. #MAGA #GabFam #NeverHillary #HillarysHealth #BasketOfDeplorables
2700,did you search for Beliziangrove women yet? equal opportunisticks
2686,So THAT'S what happened when I was physically and emotionally abused by my feminist mother for the first 14 years of my life. Privilege!
2628,You sound like a beta-male cuck mangina soy boy that can’t get laid by a woman.
10311,"The only one I now to be innocent is Jordan Chariton, a conclusion I reached after listening to his accuser get interviewed by H.A. Goodman. He still should have been fired though, but he didn't do anything wrong to her."
7848,You should've hit her.
6553,"If you want a man I'd work to keep the Husband you already have, who has been extremely patient with this issue"
6542,"Sounds like pure and unic racism, the sentences of this black dumb lady. Need some Chicken with Melons? - oh sorry, I was joking, OK!- LOL"
2749,Hahahaha that was my response to an idiot woman bashing me. You wanna join the party too?
10262,she is untermensch
10189,Concealed carry for women!!! “PURSES ARE FOR LIPSTICK!”  #2A #yougotthis #concealedcarry
2817,I'd like to jump into her GL (gineline)
10197,When she lists all of her baggage as cutesy attributes on #Tinder. #TinderThots - Part 923
2772,\>woman here Opinion discarded.
2779,"This is great! They include both genders and adoptions. Honestly men will most likely not take advantage nearly as much as women, however this is a huge step forward!"
6488,But a normal woman is not expecting you to lay out 3 months salary. Define normal.
6464,"**Hobbies of girls without boyfriends:** Drawing, eating, Netflix, want to travel the world **Hobbies of girls with boyfirends:** Insert boyfriend's hobby"
201,"Some are suggesting it is ""trans hate' to say that ""women don't have penises"" Surely it is simply a question of anatomical reality? "
6576,"According to the Lincoln County Sheriff’s Office, 18-year-old Erik Ivan Rodriguez allegedly met a 13-year-old and they began talking on “Snapchat.” The suspect then reportedly met the alleged victim at her home."
10153,Give me an example because I can't just start touching a girl without talk (or can I)?
2874,I used like Katy Perry. NOW....I can not stand the sight of her. What a dumb hitch.
10170,"Why did he move out? She's the cheater, she should be forced out."
2849,"Sure she has. Her and every other person who's been caught acting like an evil witch have all had ""death threats"" conveniently appear"
3022,People who kick babies do not belong in Western Civilization. People who kick babies: Black welfare moms Refugees Drug addicts Pedophiles Sociopaths Satanists Abortionists Chimps
2977,"I don’t really have many women, I do have one"
2940,Bro he's litereally 170cm and a framelet he just looks tall and large because the girls are like 160cm and small. I dont know what girl would date a guy that short and small framed in the West that wasn't loaded or had a chad face.
10041,AT first i was like 6mins 30secs Aint no one got time for that... then i skipped to her getting tazed... all of a sudden I got 6mins 30secs freed up
3075,It could be like for the ladies' corner of your man cave. Where they could pause and be cheered by its message in between bearing platters of food and drink up and down the stairs.
7922,When the enemy comes I am certain they will make sure to consider the emotions of our female soldiers before they throw around any harsh insults. 
7924,"Truthfully, Roe shouldn’t exist. It should be a 10 amendment issue. With that said.... I’m pro choice; as is my girlfriend, who said that if she doesn’t have a ring on her finger she’ll just throw herself down the stairs for me. /s"
7932,"A lot of women want to play the games though because it’s more exciting, that’s the point."
6420,Drown her in pigs blood!!
10077,"give her a disappointed look, shake your head, and say ""minus one."" then walk away and re-initiate the interaction later."
3015,But don't you miss having a first lady that could beat most men in a bar brawl...or at least B.O...Michael...I mean Michelle...or whatever hi..her name was...was so ma...womanly... that's the one
6394,"That isn't an analogous comparison at all. ""whitecel = volcel"" is an absolute statement; ""most men are smarter than women"" is explicitly a conditional statement."
6372,Can't hit girls though......but.... a c@#t punt might be an idea..
3172,Yeah man. As long as you don’t desire female validation you can be MGTOW
10008,"It's the advanced version of the ""let's take a break"" ploy - keep the beta on the hook while ms. hamster tries to lock in a better prospect."
3160,"She will cry in court about DV , financial abuse , and allege that it was not her mistake but her friends , father and maternal uncle forced her to put a case on him"
3120,"""It's not the same goys. Groping women is my comedy shtick"""
10029,"LTR's are good if you both have similar goals, both earn good money and she likes being number 2. You can really get ahead in life and crush it"
9963,"From this moment on you are a rock. You absorb nothing, you say nothing, and nothing breaks you. Except for the say nothing part. Be playful and cocky with her. This is your frame."
3235," LOL! You are too cool, the Watchman Watcher. 😎 Every gal appreciates a man who keeps an eye out, at least I know I appreciate it.😘"
8010,Surprised you could even spit game while on acid. If she knew it’s probably no big deal. Don’t mention it and do it better next time
6304,"Aw, look guys... she’s ‘special’. 🙄"
6312,If she loves rapefugees so much let her go spend a week alone in a camp with some of them. After they remove the coke bottles from her orifices they should ask her again how much she loves refugees
9981,"Are your chromosomes XX? If so, you're 100% female."
3210,Hit her with a club on the back of the head and carry her back to your cave oonga boonga style
9997,"""Further, she also worries that evaluations of math skills can perpetuate discrimination against minorities, especially if they do worse than their white counterparts."" << she can't tell ""discrimination"" from ""objective failure"" "
3337," Yeah but she's a typical white girl. Thin brows, no lashes, thin lips, but also with bad skin. All of my white friends look pretty... tired without makeup."
868,Seems like some white man was banging his mom to produce his half assed complexion.
